Platform,Year_of_Release,Publisher,NA_Sales,EU_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Target
8.0,2011.0,136.0,271.0,185.0,548.0,96.0,42.0,86.0,2162.0,597.0,5.0,10.0
16.0,2014.0,117.0,281.0,219.0,548.0,97.0,14.0,79.0,764.0,590.0,4.0,3.0
3.0,2001.0,80.0,262.0,164.0,547.0,93.0,24.0,83.0,108.0,349.0,1.0,10.0
7.0,2001.0,128.0,206.0,229.0,542.0,66.0,22.0,71.0,156.0,740.0,1.0,8.0
8.0,2008.0,5.0,273.0,183.0,539.0,85.0,45.0,76.0,409.0,742.0,4.0,0.0
9.0,2016.0,101.0,185.0,250.0,538.0,93.0,113.0,79.0,7064.0,460.0,5.0,8.0
8.0,2009.0,110.0,174.0,121.0,533.0,83.0,83.0,73.0,2483.0,673.0,5.0,10.0
6.0,2000.0,112.0,162.0,77.0,530.0,94.0,22.0,89.0,779.0,678.0,5.0,7.0
14.0,2012.0,126.0,313.0,169.0,529.0,84.0,61.0,67.0,1196.0,754.0,4.0,6.0
7.0,2003.0,30.0,192.0,108.0,529.0,85.0,45.0,66.0,400.0,678.0,5.0,3.0
16.0,2014.0,5.0,322.0,155.0,527.0,81.0,53.0,54.0,898.0,653.0,4.0,7.0
14.0,2009.0,126.0,311.0,155.0,526.0,90.0,82.0,88.0,1305.0,760.0,4.0,7.0
13.0,2012.0,80.0,229.0,134.0,522.0,84.0,70.0,81.0,733.0,477.0,1.0,0.0
7.0,2004.0,110.0,65.0,75.0,521.0,89.0,63.0,88.0,245.0,395.0,5.0,7.0
2.0,2007.0,80.0,121.0,243.0,519.0,85.0,72.0,86.0,147.0,395.0,1.0,4.0
14.0,2012.0,30.0,109.0,347.0,516.0,90.0,48.0,61.0,403.0,235.0,1.0,3.0
5.0,2012.0,5.0,244.0,216.0,514.0,88.0,86.0,40.0,9629.0,99.0,4.0,0.0
7.0,2003.0,30.0,198.0,223.0,513.0,68.0,30.0,76.0,100.0,216.0,5.0,2.0
7.0,2006.0,92.0,381.0,63.0,512.0,92.0,69.0,85.0,112.0,309.0,5.0,7.0
14.0,2010.0,71.0,359.0,108.0,509.0,80.0,88.0,65.0,604.0,400.0,4.0,8.0
8.0,2009.0,19.0,196.0,141.0,509.0,84.0,76.0,75.0,667.0,129.0,4.0,7.0
2.0,2007.0,80.0,185.0,180.0,508.0,90.0,57.0,80.0,416.0,477.0,1.0,6.0
8.0,2010.0,30.0,61.0,328.0,507.0,89.0,51.0,80.0,233.0,222.0,1.0,0.0
6.0,1996.0,132.0,204.0,115.0,505.0,91.0,8.0,90.0,266.0,129.0,4.0,2.0
10.0,2006.0,117.0,170.0,199.0,503.0,86.0,50.0,80.0,150.0,588.0,4.0,8.0
6.0,1999.0,5.0,342.0,138.0,501.0,92.0,18.0,92.0,69.0,469.0,5.0,8.0
7.0,2007.0,5.0,349.0,1.0,498.0,82.0,24.0,82.0,46.0,470.0,5.0,0.0
12.0,2007.0,80.0,305.0,117.0,498.0,68.0,34.0,71.0,47.0,477.0,5.0,0.0
14.0,2008.0,15.0,340.0,99.0,493.0,93.0,84.0,85.0,1655.0,79.0,4.0,5.0
8.0,2007.0,101.0,231.0,172.0,492.0,88.0,66.0,81.0,2306.0,461.0,5.0,10.0
7.0,2005.0,30.0,398.0,26.0,491.0,88.0,29.0,80.0,121.0,222.0,1.0,10.0
5.0,2010.0,5.0,257.0,168.0,484.0,93.0,82.0,82.0,3052.0,99.0,5.0,6.0
